City,Census URL,County,State,Type,"American Indian- and Alaska Native-owned firms, percent, 2007  ","Persons per household, 2008-2012  ","Foreign born persons, percent, 2008-2012  ","Persons under 18 years, percent, 2010  ","Black or African American alone, percent, 2010 (a)  ","Median value of owner-occupied housing units, 2008-2012  ","Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007  ","Housing units in multi-unit structures, percent, 2008-2012  ","Households, 2008-2012  ","White alone, percent, 2010 (a)  ","Veterans, 2008-2012  ","High school graduate or higher, percent of persons age 25+, 2008-2012  ","Hispanic-owned firms, percent, 2007  ","Population, 2010  ",FIPS Code  ,"Total number of firms, 2007  ","Persons below poverty level, percent, 2008-2012  ","Persons under 5 years, percent, 2010  ","Two or More Races, percent, 2010  ","Persons 65 years and over, percent,  2010  ","Manufacturers shipments, 2007 ($1000)  ","Population, percent change, April 1, 2010 to July 1, 2012  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ($1000)  ","Women-owned firms, percent, 2007  ","Asian-owned firms, percent, 2007  ","Homeownership rate, 2008-2012  ","Retail sales, 2007 ($1000)  ","Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)  ","Black-owned firms, percent, 2007  ","Living in same house 1 year & over, percent, 2008-2012  ","Housing units, 2010  ","Population, percent change, April 1, 2010 to July 1, 2013  ","Hispanic or Latino, percent, 2010 (b)  ","Retail sales per capita, 2007  ","American Indian and Alaska Native alone, percent, 2010 (a)  ","Language other than English spoken at home, pct age 5+, 2008-2012  ","Population, 2012 estimate  ","Population, 2013 estimate  ","Per capita money income in past 12 months (2012 dollars), 2008-2012  ","Asian alone, percent, 2010 (a)  ","Bachelor's degree or higher, percent of persons age 25+, 2008-2012  ","Mean travel time to work (minutes), workers age 16+, 2008-2012  ","White alone, not Hispanic or Latino, percent, 2010  ","Median household income, 2008-2012  ","Female persons, percent, 2010  ","Population, 2010 (April 1) estimates base  ","Accommodation and food services sales, 2007 ($1000)  ","Land area in square miles, 2010  "
Houghton ,http://quickfacts.census.gov/qfd/states/26/2639360.html,Houghton County,Michigan,city,F,2.37,14.7,10.1,1,130000,F,43.9,2422,85.2,262,94.1,F,7708,39360,450,45.7,3.4,1.8,7,0,-0.1,1734.1,8382,S,F,37,169624,0.1,F,60.5,2516,-0.8,1.8,25197,0.4,15.4,7698,7650,15091,11.2,50.3,10.8,83.9,23912,35.7,7708,26606,4.45
Las Vegas ,http://quickfacts.census.gov/qfd/states/35/3539940.html,San Miguel County,New Mexico,city,S,2.28,3.2,21.5,1.9,107500,F,17.9,5566,64.9,1028,78.9,46.2,13753,39940,1143,31.5,5.9,3.7,14.7,0,-1.4,1812.9,6615,S,F,61.8,262613,0.2,F,83.8,6609,-2.6,80.5,19048,2.1,59,13855,13691,17684,0.9,20.3,15.8,14.9,24893,51,14055,27307,7.59
Newport ,http://quickfacts.census.gov/qfd/states/21/2155884.html,Campbell County,Kentucky,city,F,2.24,1.5,22.2,7.6,114000,F,42.7,6518,86.3,1071,77.4,F,15273,55884,1064,23.8,7.8,3.2,10.4,190746,-0.1,5608.9,173526,S,F,50.8,186225,Z,F,81.4,7146,-0.4,4.1,11941,0.3,3.7,15433,15382,21686,0.7,18.4,18.7,84.5,34670,48.5,15449,76422,2.72
Canfield ,http://quickfacts.census.gov/qfd/states/39/3911360.html,Mahoning County,Ohio,city,F,2.51,2.5,23.6,0.4,167600,F,16.9,2976,96.4,525,96.6,F,7515,11360,1043,8.5,4.6,0.7,19,D,-1.1,1641.2,30548,32.8,F,78.9,113338,Z,F,92.1,3306,-1.6,1.5,16336,0.1,4,7448,7412,38832,1.8,39.8,25,95.3,75556,52,7530,14956,4.58
Lewistown ,http://quickfacts.census.gov/qfd/states/42/4243000.html,Mifflin County,Pennsylvania,borough,F,2.25,1.6,23.3,1.5,73600,F,31.9,3683,95.2,813,83.7,F,8338,43000,515,27.4,7.3,1.8,16.2,D,0.4,4107.4,48159,S,F,51.5,242423,Z,F,83.8,4345,-0.1,3.1,28417,0.3,3.8,8372,8328,18340,0.3,12,19.3,93.3,31724,52.8,8338,D,2.03
Chamberlayne ,http://quickfacts.census.gov/qfd/states/51/5114544.html,Henrico County,Virginia,CDP,F,2.6,10.1,18.3,58.7,232400,F,1,2273,34.8,836,87.2,F,5456,14544,F,6.1,4.9,2.5,20.9,0,X,1630.6,0,F,F,96.9,0,0,F,87.1,2345,X,2.9,NA,0.1,16.3,X,X,33060,2.9,37.4,23.9,33.7,78304,53.1,X,0,3.35
Kill Devil Hills ,http://quickfacts.census.gov/qfd/states/37/3735720.html,Dare County,North Carolina,town,F,2.15,5.4,20.4,1.2,269300,F,9.9,3125,89.8,621,95.8,F,6683,35720,1124,6.8,5.7,2.1,9.4,0,2.1,1189.6,27734,24.2,F,65,170903,0.1,F,84.1,6617,3.5,9.1,25677,0.5,7.1,6821,6920,29747,1.4,29.1,22.9,86.1,55098,48.4,6683,75001,5.62
Independent Hill ,http://quickfacts.census.gov/qfd/states/51/5139544.html,Prince William County,Virginia,CDP,F,3.2,8.3,30.8,14.2,430800,F,0,2311,75.4,848,95.9,F,7419,39544,F,5.6,5.8,3.4,6.2,0,X,829.7,0,F,F,87.5,0,0.1,F,92.1,2286,X,9.6,NA,0.4,10.1,X,X,48533,4,52.9,42.8,69.5,144659,50.3,X,0,8.94
Imperial ,http://quickfacts.census.gov/qfd/states/06/0636280.html,Imperial County,California,city,F,3.31,27,33.4,2.2,180900,F,16.7,4430,63,834,81,S,14758,36280,520,13.7,8.6,5.5,6.5,0,5.7,2520.2,88534,42.5,7.9,69.1,99446,0.1,F,82.6,4751,9.7,74.8,7905,1,63.9,15596,16184,22047,2.5,22,19,20.2,62500,51.1,14752,6217,5.86
Cumberland Hill ,http://quickfacts.census.gov/qfd/states/44/4420260.html,Providence County,Rhode Island,CDP,F,2.54,6.8,23.2,1.2,250700,F,22.6,3279,93.6,650,92.2,F,7934,20260,F,3,5.4,1.3,14.7,0,X,2477.8,0,F,F,84.8,0,0,F,96.4,3271,X,2.6,NA,0.1,9.3,X,X,34157,2.9,37.3,25.6,92,75829,51.7,X,0,3.2
Sioux City ,http://quickfacts.census.gov/qfd/states/19/1973335.html,Plymouth County,Iowa,city,S,2.55,9.6,26.6,2.9,93700,F,22.3,31246,80.6,5856,83.9,2.1,82684,73335,5766,17.3,8.1,3.7,12.4,2287972,-0.1,1441.7,1492600,26.2,1.2,64.2,1425644,0.1,1,81.7,33425,-0.3,16.4,17403,2.6,17.8,82598,82459,21742,2.7,19.9,16.5,73.5,42845,50.8,82680,149413,57.35
Union ,http://quickfacts.census.gov/qfd/states/29/2974626.html,Franklin County,Missouri,city,F,2.51,1.8,28.2,1.1,133300,F,20.6,3986,95.7,720,88.4,S,10204,74626,853,9.9,9.2,1.6,11.5,D,1.6,1113.6,21770,16.5,F,64.7,180487,Z,F,84.2,4226,2.7,1.4,19099,0.6,5,10459,10577,22644,0.4,17.6,23.4,94.8,41817,51.7,10295,16430,9.16
Aberdeen ,http://quickfacts.census.gov/qfd/states/46/4600100.html,Brown County,South Dakota,city,S,2.23,1.7,22.2,0.7,133200,F,30.7,11032,91.8,1759,90.6,F,26091,100,2274,11.6,7,2,16.4,D,2.8,1682.9,1121555,19.5,S,64.9,622734,0.2,F,82.5,12158,4.8,1.6,25003,3.6,5.4,26817,27333,24389,1.3,26,11.4,91.1,46073,52.4,26091,70518,15.5
Little Falls ,http://quickfacts.census.gov/qfd/states/27/2737556.html,Morrison County,Minnesota,city,F,2.08,1.5,22.2,0.8,119700,F,27,3802,96.1,766,86.3,S,8343,37556,764,23.8,7.5,1.9,20.6,353547,-0.5,1153,198803,18.7,F,61.1,170907,Z,F,82.5,3867,-1.5,1.4,21063,0.4,4.6,8313,8232,21056,0.5,20.5,17,95.2,35414,53.1,8356,15740,7.24
Altoona ,http://quickfacts.census.gov/qfd/states/42/4202184.html,Blair County,Pennsylvania,city,F,2.38,1.4,22.6,3.3,82700,F,23.5,18955,93.8,4532,89.8,F,46320,2184,3425,18.3,6.4,2,15.6,227578,-0.4,4675.5,271956,23.2,S,66.8,917084,Z,S,86.3,21179,-1.1,1.3,19682,0.1,3.3,46117,45796,19544,0.4,15.4,16.8,93,35435,52,46321,64126,9.91
Avra Valley ,http://quickfacts.census.gov/qfd/states/04/0404880.html,Pima County,Arizona,CDP,F,2.86,7.9,24.6,1.9,117800,F,2.3,2002,82.6,818,83.3,S,6050,4880,194,16.3,6,3.5,12.9,0,X,272.7,D,S,F,80.2,D,0.1,F,90.5,2487,X,22.8,D,2.3,17.2,X,X,20880,0.3,13.4,36.3,71.8,51713,49.2,X,D,22.19
West Yarmouth ,http://quickfacts.census.gov/qfd/states/25/2578795.html,Barnstable County,Massachusetts,CDP,F,1.96,11.7,16.5,2.9,275900,F,22.7,2839,89.1,519,91.7,F,6012,78795,F,9.8,4.9,3.5,23.9,0,X,899.9,0,F,F,68.2,0,Z,F,84.7,5261,X,3.8,NA,0.3,12.3,X,X,33216,1.1,30.6,19,87.1,47434,52.8,X,0,6.68
